,0
идти,1.213923135179104
бассейный,3.005682604407159
прекрасный,0.7233002187306328
часто,1.9760631872260008
фонарь,0.0
дыхание,2.41789593950504
мгла,1.9760631872260008
наследие,3.5165082281731497
поэт,0.0
судьба,1.9070703157390494
пороша,2.6692103677859462
понять,1.3962446919730587
собака,1.7247487589450947
женщина,0.0
неинтересный,2.8233610476132043
остаться,1.9070703157390494
выезд,3.5165082281731497
короткий,0.0
мороз,0.0
интернетбиблиотека,0.0
в,0.0
гамзатов,0.0
таять,2.312535423847214
свобода,2.8233610476132043
продать,3.5165082281731497
бес,3.005682604407159
золото,2.8233610476132043
вознесенский,2.6692103677859462
звезда,1.7247487589450947
морской,2.41789593950504
штучка,3.5165082281731497
злиться,2.6692103677859462
то,0.7439195059333684
клеветник,3.005682604407159
хулиган,2.312535423847214
взрослый,0.0404095383378767
благинина,0.0
картина,2.6692103677859462
отрекаться,3.228826155721369
жук,2.5356789751614235
душа,0.9775343571148737
константинович,3.5165082281731497
дешёвый,3.5165082281731497
сказка,0.0
вервочко,2.8233610476132043
твардовский,0.0
на,0.0
коршун,2.8233610476132043
молодец,2.8233610476132043
русалка,2.41789593950504
дворняга,3.228826155721369
разработчик,3.5165082281731497
классика,0.0404095383378767
размышление,3.005682604407159
токмаков,0.0
вода,1.7819071727850435
иван,0.0
полтава,0.0
дорога,0.0
ещё,0.0
печальный,1.9760631872260008
повседневный,3.9219733362813143
цветаев,0.0
листок,2.217225244042889
реквием,2.6692103677859462
рукав,3.9219733362813143
доблесть,3.005682604407159
джалиль,0.0
соловьиный,3.228826155721369
добавить,0.0404095383378767
неизвестный,2.8233610476132043
каждый,0.9262410627273231
статья,0.0
достоевский,2.8233610476132043
пленник,3.005682604407159
два,1.0597724553518457
желать,2.8233610476132043
чуковский,0.0
банька,3.228826155721369
земля,1.1186129553747792
коробейник,3.9219733362813143
смочь,2.312535423847214
конец,2.130213867053259
рожь,2.5356789751614235
сукин,3.005682604407159
балда,3.005682604407159
свинья,3.005682604407159
клн,2.41789593950504
зреть,2.5356789751614235
песня,0.7649729151312009
теперь,1.3570239788197773
бросить,2.6692103677859462
сказать,0.9775343571148737
мужество,0.0
руда,3.5165082281731497
огромный,2.0501711593797225
себя,0.0
лошадь,2.8233610476132043
очень,0.3956128116651528
стих,0.0
луг,2.5356789751614235
возгордиться,3.9219733362813143
рустих,0.0
ручей,2.41789593950504
достижение,3.9219733362813143
желаемый,0.0404095383378767
нищий,2.5356789751614235
достучаться,3.5165082281731497
артиллерист,3.005682604407159
